x_coord,y_coord,image_source_x,water_percentage,date,year,image_source_y,inland_aquaculture,shrimp_rice_farming,single_rice_cropping,triple_rice_cropping,double_rice_cropping_dry,double_rice_cropping_rain,others,date_time
4,6,Flood_2000_153.tif,0.16,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.15,0.59,0.02,0.24,2000-06-01
8,8,Flood_2000_153.tif,0.4,153,2000,Landuse_2000.tif,0.08,0.05,0.04,0.0,0.0,0.5,0.34,2000-06-01
11,3,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.06,0.01,0.02,0.33,0.0,0.25,0.33,2000-06-01
4,10,Flood_2000_153.tif,0.53,153,2000,Landuse_2000.tif,0.37,0.04,0.1,0.0,0.0,0.22,0.27,2000-06-01
7,3,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.0,0.01,0.0,0.12,0.46,0.0,0.41,2000-06-01
8,2,Flood_2000_153.tif,0.04,153,2000,Landuse_2000.tif,0.0,0.0,0.05,0.11,0.48,0.0,0.36,2000-06-01
11,5,Flood_2000_153.tif,0.25,153,2000,Landuse_2000.tif,0.08,0.04,0.1,0.25,0.0,0.06,0.46,2000-06-01
4,4,Flood_2000_153.tif,0.03,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.0,0.75,0.0,0.24,2000-06-01
8,1,Flood_2000_153.tif,0.1,153,2000,Landuse_2000.tif,0.0,0.0,0.04,0.06,0.56,0.05,0.29,2000-06-01
12,3,Flood_2000_153.tif,0.15,153,2000,Landuse_2000.tif,0.1,0.01,0.02,0.26,0.0,0.33,0.27,2000-06-01
4,8,Flood_2000_153.tif,0.09,153,2000,Landuse_2000.tif,0.05,0.01,0.01,0.02,0.0,0.36,0.56,2000-06-01
12,4,Flood_2000_153.tif,0.46,153,2000,Landuse_2000.tif,0.25,0.03,0.12,0.02,0.0,0.14,0.44,2000-06-01
6,0,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.0,0.03,0.26,0.48,0.08,0.15,2000-06-01
11,2,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.02,0.0,0.79,0.18,2000-06-01
8,4,Flood_2000_153.tif,0.09,153,2000,Landuse_2000.tif,0.03,0.02,0.0,0.26,0.09,0.03,0.57,2000-06-01
7,1,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.0,0.04,0.0,0.51,0.0,0.44,2000-06-01
8,6,Flood_2000_153.tif,0.27,153,2000,Landuse_2000.tif,0.08,0.04,0.0,0.2,0.0,0.01,0.67,2000-06-01
4,7,Flood_2000_153.tif,0.12,153,2000,Landuse_2000.tif,0.0,0.02,0.0,0.2,0.03,0.2,0.55,2000-06-01
6,9,Flood_2000_153.tif,0.35,153,2000,Landuse_2000.tif,0.03,0.02,0.07,0.09,0.0,0.55,0.24,2000-06-01
4,11,Flood_2000_153.tif,0.56,153,2000,Landuse_2000.tif,0.61,0.01,0.01,0.0,0.0,0.05,0.32,2000-06-01
11,7,Flood_2000_153.tif,0.15,153,2000,Landuse_2000.tif,0.38,0.02,0.06,0.0,0.0,0.06,0.48,2000-06-01
4,5,Flood_2000_153.tif,0.08,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.01,0.8,0.0,0.2,2000-06-01
5,1,Flood_2000_153.tif,0.06,153,2000,Landuse_2000.tif,0.0,0.02,0.03,0.04,0.69,0.0,0.22,2000-06-01
11,6,Flood_2000_153.tif,0.42,153,2000,Landuse_2000.tif,0.36,0.07,0.09,0.0,0.0,0.08,0.4,2000-06-01
5,4,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.17,0.54,0.03,0.25,2000-06-01
8,5,Flood_2000_153.tif,0.03,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.31,0.02,0.16,0.5,2000-06-01
11,4,Flood_2000_153.tif,0.17,153,2000,Landuse_2000.tif,0.04,0.03,0.01,0.13,0.0,0.08,0.72,2000-06-01
0,3,Flood_2000_153.tif,0.26,153,2000,Landuse_2000.tif,0.21,0.04,0.01,0.01,0.02,0.0,0.71,2000-06-01
7,5,Flood_2000_161.tif,0.12,161,2000,Landuse_2000.tif,0.04,0.02,0.0,0.19,0.07,0.01,0.66,2000-06-09
3,5,Flood_2000_161.tif,0.16,161,2000,Landuse_2000.tif,0.0,0.0,0.01,0.09,0.56,0.06,0.28,2000-06-09
5,8,Flood_2000_161.tif,0.32,161,2000,Landuse_2000.tif,0.07,0.04,0.02,0.16,0.0,0.21,0.49,2000-06-09
3,8,Flood_2000_161.tif,0.06,161,2000,Landuse_2000.tif,0.0,0.02,0.02,0.0,0.0,0.02,0.92,2000-06-09
3,7,Flood_2000_161.tif,0.07,161,2000,Landuse_2000.tif,0.02,0.04,0.01,0.09,0.0,0.29,0.54,2000-06-09
9,8,Flood_2000_161.tif,0.18,161,2000,Landuse_2000.tif,0.07,0.02,0.03,0.05,0.0,0.53,0.3,2000-06-09
6,5,Flood_2000_161.tif,0.02,161,2000,Landuse_2000.tif,0.01,0.0,0.0,0.28,0.18,0.03,0.5,2000-06-09
3,9,Flood_2000_161.tif,0.27,161,2000,Landuse_2000.tif,0.2,0.11,0.02,0.0,0.0,0.02,0.65,2000-06-09
6,1,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.02,0.24,0.01,0.51,0.0,0.21,2000-06-09
7,4,Flood_2000_161.tif,0.05,161,2000,Landuse_2000.tif,0.01,0.01,0.0,0.09,0.45,0.0,0.43,2000-06-09
7,1,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.04,0.0,0.51,0.0,0.44,2000-06-09
6,0,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.0,0.03,0.26,0.48,0.08,0.15,2000-06-09
11,2,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.02,0.0,0.79,0.18,2000-06-09
3,12,Flood_2000_161.tif,0.51,161,2000,Landuse_2000.tif,0.56,0.04,0.0,0.0,0.0,0.0,0.39,2000-06-09
3,10,Flood_2000_161.tif,0.2,161,2000,Landuse_2000.tif,0.06,0.07,0.09,0.05,0.05,0.19,0.49,2000-06-09
3,11,Flood_2000_161.tif,0.28,161,2000,Landuse_2000.tif,0.15,0.08,0.05,0.0,0.0,0.04,0.68,2000-06-09
6,3,Flood_2000_161.tif,0.08,161,2000,Landuse_2000.tif,0.01,0.02,0.01,0.15,0.38,0.0,0.43,2000-06-09
3,6,Flood_2000_161.tif,0.09,161,2000,Landuse_2000.tif,0.0,0.02,0.0,0.08,0.03,0.5,0.36,2000-06-09
10,0,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.01,0.01,0.15,0.14,0.01,0.69,2000-06-09
11,7,Flood_2000_161.tif,0.3,161,2000,Landuse_2000.tif,0.38,0.02,0.06,0.0,0.0,0.06,0.48,2000-06-09
7,2,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.01,0.06,0.08,0.63,0.0,0.22,2000-06-09
6,7,Flood_2000_161.tif,0.05,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.32,0.24,0.01,0.43,2000-06-09
6,6,Flood_2000_161.tif,0.02,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.29,0.39,0.03,0.28,2000-06-09
4,2,Flood_2000_161.tif,0.02,161,2000,Landuse_2000.tif,0.0,0.03,0.01,0.06,0.65,0.01,0.25,2000-06-09
3,1,Flood_2000_161.tif,0.03,161,2000,Landuse_2000.tif,0.0,0.02,0.05,0.05,0.63,0.0,0.26,2000-06-09
5,10,Flood_2000_161.tif,0.63,161,2000,Landuse_2000.tif,0.51,0.04,0.09,0.0,0.0,0.14,0.22,2000-06-09
7,8,Flood_2000_161.tif,0.18,161,2000,Landuse_2000.tif,0.05,0.05,0.01,0.05,0.0,0.43,0.41,2000-06-09
4,4,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.0,0.75,0.0,0.24,2000-06-09
4,8,Flood_2000_161.tif,0.05,161,2000,Landuse_2000.tif,0.05,0.01,0.01,0.02,0.0,0.36,0.56,2000-06-09
4,3,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.01,0.01,0.8,0.0,0.19,2000-06-09
0,3,Flood_2000_161.tif,0.14,161,2000,Landuse_2000.tif,0.21,0.04,0.01,0.01,0.02,0.0,0.71,2000-06-09
3,4,Flood_2000_161.tif,0.02,161,2000,Landuse_2000.tif,0.0,0.0,0.01,0.02,0.84,0.0,0.13,2000-06-09
7,9,Flood_2000_161.tif,0.42,161,2000,Landuse_2000.tif,0.13,0.04,0.2,0.0,0.0,0.28,0.35,2000-06-09
6,8,Flood_2000_161.tif,0.28,161,2000,Landuse_2000.tif,0.0,0.0,0.01,0.36,0.0,0.3,0.32,2000-06-09
4,7,Flood_2000_161.tif,0.07,161,2000,Landuse_2000.tif,0.0,0.02,0.0,0.2,0.03,0.2,0.55,2000-06-09
3,2,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.02,0.63,0.01,0.33,2000-06-09
3,3,Flood_2000_161.tif,0.04,161,2000,Landuse_2000.tif,0.0,0.01,0.02,0.01,0.64,0.0,0.32,2000-06-09
4,6,Flood_2000_161.tif,0.04,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.15,0.59,0.02,0.24,2000-06-09
6,9,Flood_2000_161.tif,0.23,161,2000,Landuse_2000.tif,0.03,0.02,0.07,0.09,0.0,0.55,0.24,2000-06-09
