x_coord,y_coord,image_source,water_percentage,date,year
4,12,Flood_2000_169.tif,0.13,169,2000
2,13,Flood_2000_169.tif,0.34,169,2000
6,0,Flood_2000_177.tif,0.01,177,2000
7,0,Flood_2000_177.tif,0.0,177,2000
10,0,Flood_2000_177.tif,0.04,177,2000
3,1,Flood_2000_177.tif,0.06,177,2000
4,1,Flood_2000_177.tif,0.08,177,2000
5,1,Flood_2000_177.tif,0.04,177,2000
6,1,Flood_2000_177.tif,0.15,177,2000
7,1,Flood_2000_177.tif,0.02,177,2000
8,1,Flood_2000_177.tif,0.0,177,2000
9,1,Flood_2000_177.tif,0.0,177,2000
10,1,Flood_2000_177.tif,0.02,177,2000
3,2,Flood_2000_177.tif,0.0,177,2000
4,2,Flood_2000_177.tif,0.03,177,2000
5,2,Flood_2000_177.tif,0.1,177,2000
6,2,Flood_2000_177.tif,0.02,177,2000
7,2,Flood_2000_177.tif,0.01,177,2000
8,2,Flood_2000_177.tif,0.03,177,2000
9,2,Flood_2000_177.tif,0.02,177,2000
10,2,Flood_2000_177.tif,0.01,177,2000
11,2,Flood_2000_177.tif,0.01,177,2000
0,3,Flood_2000_177.tif,0.17,177,2000
1,3,Flood_2000_177.tif,0.0,177,2000
2,3,Flood_2000_177.tif,0.0,177,2000
3,3,Flood_2000_177.tif,0.01,177,2000
4,3,Flood_2000_177.tif,0.0,177,2000
5,3,Flood_2000_177.tif,0.2,177,2000
6,3,Flood_2000_177.tif,0.11,177,2000
7,3,Flood_2000_177.tif,0.06,177,2000
8,3,Flood_2000_177.tif,0.09,177,2000
9,3,Flood_2000_177.tif,0.03,177,2000
10,3,Flood_2000_177.tif,0.06,177,2000
11,3,Flood_2000_177.tif,0.07,177,2000
12,3,Flood_2000_177.tif,0.11,177,2000
1,4,Flood_2000_177.tif,0.01,177,2000
2,4,Flood_2000_177.tif,0.01,177,2000
3,4,Flood_2000_177.tif,0.0,177,2000
4,4,Flood_2000_177.tif,0.0,177,2000
5,4,Flood_2000_177.tif,0.04,177,2000
6,4,Flood_2000_177.tif,0.1,177,2000
7,4,Flood_2000_177.tif,0.06,177,2000
8,4,Flood_2000_177.tif,0.1,177,2000
9,4,Flood_2000_177.tif,0.12,177,2000
10,4,Flood_2000_177.tif,0.06,177,2000
11,4,Flood_2000_177.tif,0.15,177,2000
12,4,Flood_2000_177.tif,0.37,177,2000
3,5,Flood_2000_177.tif,0.04,177,2000
4,5,Flood_2000_177.tif,0.0,177,2000
5,5,Flood_2000_177.tif,0.02,177,2000
6,5,Flood_2000_177.tif,0.08,177,2000
7,5,Flood_2000_177.tif,0.16,177,2000
8,5,Flood_2000_177.tif,0.09,177,2000
9,5,Flood_2000_177.tif,0.11,177,2000
10,5,Flood_2000_177.tif,0.17,177,2000
11,5,Flood_2000_177.tif,0.2,177,2000
3,6,Flood_2000_177.tif,0.01,177,2000
4,6,Flood_2000_177.tif,0.0,177,2000
5,6,Flood_2000_177.tif,0.01,177,2000
6,6,Flood_2000_177.tif,0.04,177,2000
7,6,Flood_2000_177.tif,0.01,177,2000
8,6,Flood_2000_177.tif,0.19,177,2000
9,6,Flood_2000_177.tif,0.04,177,2000
10,6,Flood_2000_177.tif,0.06,177,2000
11,6,Flood_2000_177.tif,0.38,177,2000
2,7,Flood_2000_177.tif,0.09,177,2000
3,7,Flood_2000_177.tif,0.04,177,2000
4,7,Flood_2000_177.tif,0.04,177,2000
5,7,Flood_2000_177.tif,0.17,177,2000
6,7,Flood_2000_177.tif,0.14,177,2000
7,7,Flood_2000_177.tif,0.02,177,2000
8,7,Flood_2000_177.tif,0.02,177,2000
9,7,Flood_2000_177.tif,0.18,177,2000
10,7,Flood_2000_177.tif,0.12,177,2000
11,7,Flood_2000_177.tif,0.22,177,2000
2,8,Flood_2000_177.tif,0.07,177,2000
3,8,Flood_2000_177.tif,0.03,177,2000
4,8,Flood_2000_177.tif,0.04,177,2000
5,8,Flood_2000_177.tif,0.16,177,2000
6,8,Flood_2000_177.tif,0.13,177,2000
7,8,Flood_2000_177.tif,0.07,177,2000
8,8,Flood_2000_177.tif,0.15,177,2000
9,8,Flood_2000_177.tif,0.11,177,2000
2,9,Flood_2000_177.tif,0.05,177,2000
3,9,Flood_2000_177.tif,0.23,177,2000
4,9,Flood_2000_177.tif,0.23,177,2000
5,9,Flood_2000_177.tif,0.13,177,2000
6,9,Flood_2000_177.tif,0.18,177,2000
7,9,Flood_2000_177.tif,0.41,177,2000
8,9,Flood_2000_177.tif,0.37,177,2000
2,10,Flood_2000_177.tif,0.04,177,2000
3,10,Flood_2000_177.tif,0.06,177,2000
4,10,Flood_2000_177.tif,0.36,177,2000
5,10,Flood_2000_177.tif,0.52,177,2000
2,11,Flood_2000_177.tif,0.09,177,2000
3,11,Flood_2000_177.tif,0.13,177,2000
4,11,Flood_2000_177.tif,0.46,177,2000
2,12,Flood_2000_177.tif,0.48,177,2000
3,12,Flood_2000_177.tif,0.41,177,2000
4,12,Flood_2000_177.tif,0.09,177,2000
2,13,Flood_2000_177.tif,0.31,177,2000
6,0,Flood_2000_185.tif,0.11,185,2000
7,0,Flood_2000_185.tif,0.16,185,2000
10,0,Flood_2000_185.tif,0.09,185,2000
3,1,Flood_2000_185.tif,0.19,185,2000
4,1,Flood_2000_185.tif,0.09,185,2000
5,1,Flood_2000_185.tif,0.1,185,2000
6,1,Flood_2000_185.tif,0.41,185,2000
7,1,Flood_2000_185.tif,0.17,185,2000
8,1,Flood_2000_185.tif,0.07,185,2000
9,1,Flood_2000_185.tif,0.08,185,2000
10,1,Flood_2000_185.tif,0.04,185,2000
3,2,Flood_2000_185.tif,0.03,185,2000
4,2,Flood_2000_185.tif,0.12,185,2000
5,2,Flood_2000_185.tif,0.11,185,2000
6,2,Flood_2000_185.tif,0.08,185,2000
7,2,Flood_2000_185.tif,0.09,185,2000
8,2,Flood_2000_185.tif,0.06,185,2000
9,2,Flood_2000_185.tif,0.04,185,2000
10,2,Flood_2000_185.tif,0.01,185,2000
11,2,Flood_2000_185.tif,0.01,185,2000
0,3,Flood_2000_185.tif,0.16,185,2000
1,3,Flood_2000_185.tif,0.02,185,2000
2,3,Flood_2000_185.tif,0.03,185,2000
3,3,Flood_2000_185.tif,0.1,185,2000
4,3,Flood_2000_185.tif,0.09,185,2000
5,3,Flood_2000_185.tif,0.27,185,2000
6,3,Flood_2000_185.tif,0.13,185,2000
7,3,Flood_2000_185.tif,0.17,185,2000
